,LAENGE_LAENGSTES_WORT,ID
13222,15,3881
13223,15,3881
13224,15,3881
13225,15,3881
13226,15,3881
13227,15,3881
13228,15,3881
13229,17,1132020
13230,17,1132020
13231,17,1132020
13232,17,1132020
13233,17,1132020
13234,17,1132020
13235,17,1132020
13236,17,1132020
13237,17,1132020
13238,17,1132020
13239,17,1132020
13240,17,1132020
13241,17,1132020
13242,17,1132020
13243,17,1132020
13244,17,1132020
13245,12,158849
13246,12,158849
13247,12,158849
13248,11,1525790
13249,11,1525790
13250,11,1525790
13251,16,26024
13252,16,26024
13253,16,26024
13254,16,26024
13255,16,26024
13256,16,26024
13257,16,1716967
13258,17,1716970
13259,13,112298
13260,14,5996
13261,14,5996
13262,14,5996
13263,14,5996
13264,14,5996
13265,14,5996
13266,14,5996
13267,15,985
13268,15,985
13269,15,985
13270,15,985
13271,15,985
13272,15,985
13273,15,985
13274,12,66928
13275,12,66928
13276,12,66928
13277,12,66928
13278,12,66928
13279,12,66928
13280,12,66928
13281,12,66928
13282,12,66928
13283,12,66928
13284,12,66928
13285,12,66928
13286,12,66928
13287,18,460886
13288,18,460886
13289,18,460886
13290,18,460886
13291,13,1732895
13292,13,1732895
13293,13,1732895
13294,11,1766186
13295,11,1766186
13296,28,1618335
13297,17,491903
13298,17,491903
13299,17,491903
13300,17,491903
13301,17,491903
13302,14,64158
13303,13,1656032
13304,13,1656032
13305,13,14155
13306,13,14155
13307,13,14155
13308,13,14155
13309,13,14155
13310,13,14155
13311,13,14155
13312,13,14155
13313,13,14155
13314,13,14155
13315,13,14155
13316,13,14155
13317,13,14155
13318,20,1290721
13319,20,1290721
13320,20,1290721
13321,15,1153823
13322,15,1153823
13323,15,1153823
13324,15,1153823
13325,15,1153823
13326,15,1153823
13327,15,1153823
13328,12,907316
13329,12,907316
13330,12,907316
13331,12,907316
13332,12,907316
13333,12,907316
13334,12,907316
13335,14,1696094
13336,14,1696094
13337,14,1696094
13338,14,1696094
13339,14,1696094
13340,15,1756128
13341,15,1756128
13342,15,1756128
13343,15,1756128
13344,15,1756128
13345,15,1756128
13346,22,1646359
13347,22,1646359
13348,22,1646359
13349,22,1646359
13350,22,1646359
13351,22,1646359
13352,22,1646359
13353,22,1646359
13354,16,4055
13355,16,4055
13356,16,4055
13357,16,4055
13358,16,4055
13359,16,4055
13360,16,4055
13361,16,4055
13362,16,4055
13363,16,4055
13364,16,4055
13365,16,4055
13366,16,4055
13367,12,440785
13368,12,440785
13369,12,440785
13370,12,440785
13371,12,440785
13372,12,440785
13373,12,440785
13374,12,440785
13375,17,3840
13376,17,3840
13377,17,3840
13378,17,3840
13379,17,3840
13380,17,3840
13381,17,3840
13382,17,3840
13383,17,3840
13384,17,3840
13385,17,3840
13386,17,3840
13387,11,256434
13388,11,256434
13389,11,256434
13390,11,256434
13391,11,256434
13392,11,256434
13393,11,256434
13394,11,256434
13395,13,17544
13396,13,17544
13397,13,17544
13398,13,17544
13399,13,17544
13400,13,17544
13401,13,17544
13402,12,936887
13403,12,982320
13404,12,982320
13405,12,982320
13406,14,243779
13407,14,243779
13408,14,243779
13409,15,1042747
13410,15,1042747
13411,15,1042747
13412,15,1042747
13413,15,1042747
13414,15,1042747
13415,15,1042747
13416,15,1042747
13417,15,1042747
13418,15,1042747
13419,15,1042747
13420,15,1042747
13421,15,1042747
13422,15,1042747
13423,19,1256967
13424,15,4142
13425,15,4142
13426,15,4142
13427,15,4142
13428,15,4142
13429,13,12061
13430,12,33542
13431,12,33542
13432,12,33542
13433,12,33542
13434,12,33542
13435,12,33542
13436,12,33542
13437,12,33542
13438,13,591775
13439,12,4289
13440,12,4289
13441,12,4289
13442,12,4289
13443,12,4289
13444,12,4289
13445,12,4289
13446,14,505190
13447,14,2106
13448,14,2106
13449,14,2106
13450,14,2106
13451,14,2106
13452,14,2106
13453,14,2106
13454,14,2106
13455,14,2106
13456,14,2106
13457,14,2106
13458,14,2106
13459,14,2106
