LIED_ID,POSITION,DATUM_VON,DATUM_BIS
4024,4,1999-12-20,1999-12-26
4055,20,1999-12-27,2000-01-09
4055,22,2000-01-10,2000-01-16
4125,9,2000-01-24,2000-01-30
4125,11,2000-02-07,2000-02-13
4057,20,2000-02-21,2000-02-27
4184,32,2000-02-21,2000-02-27
4142,49,2000-02-28,2000-03-05
4205,21,2000-03-20,2000-03-26
4213,32,2000-03-20,2000-03-26
4205,28,2000-03-27,2000-04-02
16855,35,2000-04-03,2000-04-09
4184,2,2000-04-24,2000-04-30
4260,1,2000-05-01,2000-05-07
4184,4,2000-05-22,2000-05-28
4144,16,2000-05-22,2000-05-28
4328,21,2000-05-22,2000-05-28
4144,21,2000-06-12,2000-06-18
4277,40,2000-06-12,2000-06-18
4346,13,2000-06-19,2000-06-25
4277,39,2000-06-19,2000-06-25
25356,39,2000-07-10,2000-07-16
4328,23,2000-07-17,2000-07-23
4327,15,2000-07-24,2000-07-30
4144,47,2000-07-24,2000-07-30
4346,15,2000-07-31,2000-08-06
4184,33,2000-08-14,2000-08-20
4412,4,2000-08-21,2000-08-27
4359,48,2000-09-04,2000-09-10
4402,15,2000-09-11,2000-09-17
4352,37,2000-09-11,2000-09-17
4368,29,2000-09-18,2000-09-24
4336,42,2000-09-18,2000-09-24
4411,11,2000-10-02,2000-10-08
4368,36,2000-10-16,2000-10-22
4420,28,2000-11-06,2000-11-12
88462,48,2000-11-06,2000-11-12
4479,2,2000-11-13,2000-11-19
4420,38,2000-11-20,2000-11-26
4494,22,2000-11-27,2000-12-03
4538,16,2000-12-04,2000-12-10
4421,37,2000-12-04,2000-12-10
4491,24,2000-12-25,2001-01-07
112282,48,2001-03-05,2001-03-11
4710,36,2001-05-14,2001-05-20
4691,34,2001-06-11,2001-06-17
4875,37,2001-10-22,2001-10-28
12664,22,2001-11-26,2001-12-02
4869,32,2001-12-03,2001-12-09
7397,18,2001-12-10,2001-12-16
4986,32,2002-01-07,2002-01-13
4970,21,2002-02-18,2002-02-24
5055,43,2002-02-18,2002-02-24
5064,10,2002-04-29,2002-05-05
8656,27,2002-05-06,2002-05-12
101244,28,2002-05-27,2002-06-02
5199,5,2002-07-01,2002-07-07
19941,48,2002-08-26,2002-09-01
5317,6,2002-10-07,2002-10-13
6819,19,2002-10-07,2002-10-13
6819,25,2002-10-14,2002-10-20
5264,26,2002-10-14,2002-10-20
5327,34,2002-10-28,2002-11-03
44831,16,2002-11-11,2002-11-17
5267,27,2002-11-18,2002-11-24
5370,38,2002-11-18,2002-11-24
34154,34,2002-12-09,2002-12-15
44831,31,2002-12-16,2002-12-22
12015,45,2003-02-17,2003-02-23
8549,4,2003-03-24,2003-03-30
12667,30,2003-03-24,2003-03-30
5566,32,2003-03-24,2003-03-30
5510,38,2003-04-28,2003-05-04
100218,45,2003-06-02,2003-06-08
38543,31,2003-06-09,2003-06-15
5672,17,2003-07-07,2003-07-13
8769,42,2003-07-14,2003-07-20
12921,23,2003-08-04,2003-08-10
57362,25,2003-08-04,2003-08-10
5606,15,2003-08-11,2003-08-17
57362,42,2003-08-11,2003-08-17
5737,5,2003-08-25,2003-08-31
9372,34,2003-09-01,2003-09-07
5621,12,2003-09-29,2003-10-05
5606,37,2003-10-06,2003-10-12
5808,23,2003-10-13,2003-10-19
5786,48,2003-11-10,2003-11-16
5808,15,2003-11-17,2003-11-23
